Image_ID,Product_Type,Carbon_Emission_from_RM(KG CO2),Carbon_Emission_from_WDFKG CO2),Energy_Consumption_from_WDF(KwH),Water_Used_from_WDF (Litres),Carbon_Emission_from_MKG CO2),Energy_Consumption_from_M(KwH),Water_Used_from_M (Litres),Carbon_Emission_from T(KG CO2)
Uniform_54.webp,Uniform,6.146957227,4.974406442,32,391,3.214894152,68,637,1.639610543
Uniform_55.webp,Uniform,14.70607305,4.006327975,22,319,3.108503266,44,470,1.629503854
Workwear_1.webp,Workwear,5.869611233,4.655763139,26,229,7.957645417,49,565,0.97585827
Workwear_2.webp,Workwear,10.50330626,4.663108194,39,253,5.209823015,79,572,0.978809948
Workwear_3.webp,Workwear,10.43622405,4.944019183,42,432,5.105507926,63,566,1.178110496
Workwear_4.webp,Workwear,16.856691,2.619743829,35,261,3.869848308,78,553,1.321456218
Workwear_5.webp,Workwear,9.891071886,4.101471805,27,336,5.899001613,77,569,1.191575781
Workwear_6.webp,Workwear,6.037555442,4.862140913,37,200,9.270024178,78,450,0.53510516
Workwear_7.webp,Workwear,13.21348739,1.657916211,37,222,6.554992951,64,475,1.064162333
Workwear_8.webp,Workwear,9.149103733,2.787173483,32,379,8.003765488,62,504,0.653609357
Workwear_9.webp,Workwear,16.04661082,3.987357746,21,399,8.188720284,76,453,1.414333294
Workwear_10.webp,Workwear,6.05383213,1.031888754,25,372,3.420224227,78,549,0.932209778
Workwear_11.webp,Workwear,7.03327335,2.747380322,32,416,6.806937605,57,418,0.860857473
Workwear_12.webp,Workwear,15.53299525,1.597412239,28,264,8.428423856,57,423,0.740478063
Workwear_13.webp,Workwear,5.651853778,1.36998714,27,335,3.614939338,63,487,0.710100285
Workwear_14.webp,Workwear,16.45871262,2.908682275,25,300,4.551082242,75,430,0.964397059
Workwear_15.webp,Workwear,7.643546733,4.990075076,42,393,9.198121986,57,571,1.758240034
Workwear_16.webp,Workwear,6.081317721,3.22337845,20,235,6.583390231,45,463,1.16882739
Workwear_17.webp,Workwear,9.428884393,4.298091274,37,270,8.633860725,69,546,0.533057136
Workwear_18.webp,Workwear,12.02409914,1.925273237,41,353,3.858124598,46,655,0.559118388
Workwear_19.webp,Workwear,14.28830059,2.902880375,35,300,4.790425127,53,636,0.64418454
Workwear_20.webp,Workwear,8.359340896,4.131338762,38,212,6.523340722,69,586,1.838234087
Workwear_21.webp,Workwear,8.340886917,3.764746579,42,416,4.363223446,69,698,1.733334823
Workwear_22.webp,Workwear,17.96946904,4.644176287,43,294,4.651781282,74,453,0.905117541
Workwear_23.webp,Workwear,19.41342046,1.565604084,39,490,7.092311621,53,573,1.399640268
Workwear_24.webp,Workwear,14.50054909,2.728763919,28,298,7.447422092,48,497,0.886331545
Workwear_25.webp,Workwear,6.085392858,1.725322989,23,391,3.797216967,50,460,1.234071845
Workwear_26.webp,Workwear,15.24665016,2.998568114,24,341,9.951297572,47,496,1.744463011
Workwear_27.webp,Workwear,18.76072461,1.781030041,49,355,9.784404414,56,529,1.245577083
Workwear_28.webp,Workwear,14.28720363,4.553119269,31,441,6.658100818,69,479,1.264590531
Workwear_29.webp,Workwear,13.58804233,3.285432361,48,378,8.925269216,47,616,0.715977451
Workwear_30.webp,Workwear,14.29949135,2.291666575,30,404,7.678120157,78,497,1.414331513
Workwear_31.webp,Workwear,15.61959067,4.115302949,36,336,5.652607358,48,521,1.933817467
Workwear_32.webp,Workwear,15.87826027,3.579300836,23,362,3.844099013,72,501,1.815851621
Workwear_33.webp,Workwear,14.22207478,3.78099206,27,296,7.593791267,43,558,0.823495788
Workwear_34.webp,Workwear,9.993999497,3.154028056,24,265,9.238282888,68,527,1.399044796
Workwear_35.webp,Workwear,18.04895733,1.061865653,28,437,3.873383796,76,476,1.240602942
Workwear_36.webp,Workwear,6.862994574,4.114154107,21,375,4.730929552,64,640,1.038057399
Workwear_37.webp,Workwear,11.88304437,1.966516474,49,493,6.380304547,54,491,0.76154693
Workwear_38.webp,Workwear,15.56540657,3.186955461,28,405,9.350382563,58,488,1.237228942
Workwear_39.webp,Workwear,7.564950207,1.155719827,23,418,9.001712254,74,648,1.520051755
Workwear_40.webp,Workwear,8.709577965,2.048481471,34,497,7.398016852,72,654,1.826878386
Workwear_41.webp,Workwear,12.99364912,1.403281495,26,262,7.260211963,49,455,1.517372817
Workwear_42.webp,Workwear,18.29472656,4.411393015,20,470,9.116562088,78,673,1.385105419
Workwear_43.webp,Workwear,15.314048,1.78427759,37,204,8.94843292,51,402,1.964609553
Workwear_44.webp,Workwear,14.85352592,4.944142203,48,259,8.924766624,59,591,1.739567919
Workwear_45.webp,Workwear,9.373651117,4.038394088,22,434,9.883690615,59,646,0.829841817
outdoor_1.webp,Outdoor,8.545129488,2.208440073,43,427,4.701755922,52,675,1.154890733
outdoor_2.webp,Outdoor,19.25705692,2.477960409,40,250,4.962148884,43,600,1.42082094
outdoor_3.webp,Outdoor,14.32722427,1.873987997,22,386,3.040545827,73,492,1.123634307
outdoor_4.webp,Outdoor,7.301668976,1.884090031,36,252,8.256112049,67,617,1.842875146
outdoor_5.webp,Outdoor,6.520060616,1.465126407,49,353,6.163079044,68,448,0.827464658
outdoor_6.webp,Outdoor,19.9305708,4.600080522,38,291,4.651760858,52,590,1.502914812
outdoor_7.webp,Outdoor,8.45282794,4.525288877,37,419,6.407332111,51,453,1.381798881
outdoor_8.webp,Outdoor,10.04377152,2.184762675,48,298,4.313342945,46,589,0.937991012
outdoor_9.webp,Outdoor,6.232091729,2.603130627,23,445,7.656599726,60,492,1.084261115
outdoor_10.webp,Outdoor,9.093255717,1.266476128,23,326,4.913958835,47,678,1.37406719
outdoor_11.webp,Outdoor,12.10111686,2.729934925,44,308,9.30478923,65,648,1.062578166
outdoor_12.webp,Outdoor,8.194145848,4.472522043,28,343,5.767998565,76,683,1.008823651
outdoor_13.webp,Outdoor,10.41670443,1.518744128,31,256,3.907751137,57,473,1.090737585
outdoor_14.webp,Outdoor,13.86340311,3.90223682,31,360,7.85952165,40,417,0.625160922
outdoor_15.webp,Outdoor,13.87371073,1.319804261,40,383,5.787355094,73,571,1.753379806
outdoor_16.webp,Outdoor,6.309028791,4.570554456,20,249,6.612954652,50,664,0.994063142
outdoor_17.webp,Outdoor,18.78825178,4.755060884,42,372,8.901805247,63,415,1.246974477
outdoor_18.webp,Outdoor,16.10543115,3.620587984,34,383,8.680280644,61,676,1.480907797
outdoor_19.webp,Outdoor,7.019431858,4.047273349,39,323,5.254052418,41,446,0.619164751
outdoor_20.webp,Outdoor,15.30771648,1.64100913,48,388,6.731356706,60,573,1.243696374
outdoor_21.webp,Outdoor,11.24739296,3.281982951,24,497,5.989226285,40,637,0.923716848
outdoor_22.webp,Outdoor,14.74888213,2.898991046,42,483,9.380286296,57,680,0.686750592
outdoor_23.webp,Outdoor,6.998439605,2.082123255,44,459,9.71989901,66,678,1.853213122
outdoor_24.webp,Outdoor,17.25853128,3.658396138,31,310,5.527929886,75,618,1.870578855
outdoor_25.webp,Outdoor,14.01265199,1.217692229,49,401,8.190032342,77,484,1.012130865
outdoor_26.webp,Outdoor,14.56836348,4.331520322,40,216,3.861554861,72,584,1.331564494
outdoor_27.webp,Outdoor,9.368471915,2.757953396,31,461,7.840517795,71,420,0.52399529
outdoor_28.webp,Outdoor,12.37226807,1.130831131,44,436,4.741250693,60,598,1.214667692
outdoor_29.webp,Outdoor,6.122919942,2.578047952,22,315,7.405406699,66,577,0.829412633
outdoor_30.webp,Outdoor,6.966877092,2.429125572,45,333,6.577098253,52,684,1.07826626
outdoor_31.webp,Outdoor,8.657470409,3.68266905,49,450,8.777012074,60,665,1.950805928
outdoor_32.webp,Outdoor,6.10291374,2.131901631,37,337,3.024983944,46,493,1.794139024
outdoor_33.webp,Outdoor,5.666962094,4.269594666,41,215,5.826930774,41,685,1.72821315
outdoor_34.webp,Outdoor,10.8868201,3.123819328,42,348,5.255656616,73,489,0.74320398
outdoor_35.webp,Outdoor,6.957870119,3.791651883,33,317,6.873593749,47,501,1.222775044
outdoor_36.webp,Outdoor,8.092058369,2.441859387,31,275,9.577323692,64,635,1.246015231
outdoor_37.webp,Outdoor,17.00637675,1.712656897,22,475,6.304774045,53,588,1.874102004
outdoor_38.webp,Outdoor,18.08550839,1.588246842,20,370,5.400208705,66,531,0.912687999
outdoor_39.webp,Outdoor,15.60328262,4.690901334,21,409,9.548118457,60,502,1.557739516
outdoor_40.webp,Outdoor,7.416740987,2.377468694,44,233,8.081396256,74,606,0.583827184
outdoor_41.webp,Outdoor,8.871647922,4.491892777,38,482,3.180010736,60,682,1.324515437
outdoor_42.webp,Outdoor,10.38120105,4.834018364,32,419,3.167696377,73,663,1.37169585
outdoor_43.webp,Outdoor,17.76367724,4.113642014,25,336,6.775652689,57,577,1.176152264
outdoor_44.webp,Outdoor,9.585883178,3.632810161,27,353,5.251822548,55,483,1.101792179
outdoor_45.webp,Outdoor,11.01881426,1.435639171,39,356,4.565593315,74,585,1.660210087
outdoor_46.webp,Outdoor,19.06616149,4.926893105,34,248,4.43372475,47,642,1.541087579
outdoor_47.webp,Outdoor,14.46917965,2.784692152,29,475,6.549636487,48,604,1.858851228
outdoor_48.webp,Outdoor,17.14398686,1.064582326,36,360,9.894653554,59,467,1.493775073
outdoor_49.webp,Outdoor,13.72078526,1.045636869,37,350,9.04149635,73,667,0.931891241
outdoor_50.webp,Outdoor,19.07029986,3.57820576,31,235,8.848998241,43,686,0.835636445
outdoor_51.webp,Outdoor,16.24591464,3.843583468,33,360,4.153164042,71,664,1.809820526
